date,time,tweet,clase
2023-01-13,0:00:00,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁,0
2023-01-13,0:00:00,es mejor,0
2023-01-13,0:00:00,Contéstenme por favor,1
2023-01-14,0:00:00,Muchas gracias que amables 😊,0
2023-01-14,0:00:00,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",0
2023-01-14,0:00:00,amigos les mandé dm gracias,1
2023-01-14,0:00:00,solicito su ayuda gracias,1
2023-01-15,0:00:00,Gracias!Ya respondí.Quedo atenta,0
2023-01-16,0:00:00,Va gracias,0
2023-01-16,0:00:00,No sé ni a qué le piqué pero muchas gracias😂❤️,0
2023-01-16,0:00:00,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss",0
2023-01-16,0:00:00,Por eso son mi banco 1 ⭐⭐⭐⭐⭐,0
2023-01-17,0:00:00,Thanks!,0
2023-01-17,0:00:00,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo",0
2023-01-17,0:00:00,"Increíble, gracias HeyBanco!!@heybanco",0
2023-01-17,0:00:00,Me contestaron que sí.,0
2023-01-18,0:00:00,Gracias!,0
2023-01-18,0:00:00,Graciaaas.,0
2023-01-18,0:00:00,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.",2
2023-01-18,0:00:00,"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento",2
2023-01-18,0:00:00,🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!,0
2023-01-19,0:00:00,¡Gracias,0
2023-01-19,0:00:00,"¡Hola!, me pueden apoyar por favor 😬",0
2023-01-19,0:00:00,"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼",0
2023-01-19,0:00:00,"Gracias, ya se ve reflejado. Solucionado. Gracias",0
2023-01-20,0:00:00,"Listo, gracias!",0
2023-01-20,0:00:00,Los tkm ♥️,0
2023-01-20,0:00:00,"Cortesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii",2
2023-01-20,0:00:00,Cof cof también ❤️❤️,0
2023-01-20,0:00:00,te lo súper recomiendo. Y no te cobran el plástico.,0
2023-01-20,0:00:00,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! 👌🏼",0
2023-01-21,0:00:00,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!",0
2023-01-23,0:00:00,Gracias !,0
2023-01-23,0:00:00,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané.",0
2023-01-23,0:00:00,Gracias ! Este mes me tocó boletoDorado,0
2023-01-23,0:00:00,Bello!,0
2023-01-23,0:00:00,Aún hay esperanza.. congrats !!,0
2023-01-24,0:00:00,Gracias 😊😊😊,0
2023-01-24,0:00:00,Gracias.,0
2023-01-24,0:00:00,Muchas gracias 👌👌,0
2023-01-24,0:00:00,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo,0
2023-01-24,0:00:00,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.,0
2023-01-24,0:00:00,No mames que buena suee!,0
2023-01-24,0:00:00,"segundo premio, espero lleguen más",0
2023-01-25,0:00:00,Gracias ☺️,0
2023-01-25,0:00:00,"Hola, esto nos beneficia a los usuarios de",0
2023-01-26,0:00:00,Gracias por el apoyo con el seguimiento,0
2023-01-26,0:00:00,Gracias tio hey! Esto nos ayuda bastante.,0
2023-01-26,0:00:00,Muchas gracias Un mes gratis de,0
2023-01-27,0:00:00,Muchísimas gracias ya me resolvió. Saludos!,0
2023-01-27,0:00:00,Vale gracias 😃,0
2023-01-27,0:00:00,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias,0
2023-01-27,0:00:00,Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.,2
2023-01-27,0:00:00,Gracias por ser pae de el FC Barcelona,0
2023-01-27,0:00:00,cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma,1
2023-01-28,0:00:00,Ok gracias,0
2023-01-28,0:00:00,"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey.",0
2023-01-28,0:00:00,"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien",2
2023-01-28,0:00:00,Excelente,0
2023-01-29,0:00:00,Me gane 2 premios,0
2023-01-29,0:00:00,Amiga explícame!!!,2
2023-01-30,0:00:00,Muchas gracias por la información!,0
2023-01-30,0:00:00,ThankU!,0
2023-01-30,0:00:00,"Vientos, gracias",0
2023-01-30,0:00:00,me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...,0
2023-01-31,0:00:00,me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias,1
2023-02-01,0:00:00,Gracias 👏🏼,0
2023-02-01,0:00:00,"Gracias, lo checo",0
2023-02-01,0:00:00,¿Ya no habrá Viaje Financiero del 2022?😣 estaba muy buena esa información,1
2023-02-01,0:00:00,Gracias por el dato y cómo fue soeo 👀?,2
2023-02-01,0:00:00,"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito",1
2023-02-02,0:00:00,Muchas gracias,0
2023-02-02,0:00:00,Gracias ya se solucionó. Buenas tardes,0
2023-02-02,0:00:00,Lo realizaré.Gracias.,0
2023-02-02,0:00:00,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*,0
2023-02-03,0:00:00,Me funcionó mil gracias,0
2023-02-03,0:00:00,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar,0
2023-02-04,0:00:00,Mmm. te da el rendimiento del 10% Es buena opción.,2
2023-02-04,0:00:00,Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️,0
2023-02-05,0:00:00,Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 👌🏼😊,0
2023-02-07,0:00:00,"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios",1
2023-02-08,0:00:00,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora.",0
2023-02-08,0:00:00,Gracias por ser el mejor banco ✨,0
2023-02-10,0:00:00,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES.",2
2023-02-11,0:00:00,gracias,0
2023-02-11,0:00:00,Solucionado. Gracias.,0
2023-02-11,0:00:00,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco.",2
2023-02-11,0:00:00,Excelente servicio de atención a clientes en HeyBanco 10/10,1
2023-02-11,0:00:00,Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho 🥰🖤,0
2023-02-13,0:00:00,Ok muchas gracias 😊,0
2023-02-13,0:00:00,Gracias. Porque tengo una duda,2
2023-02-13,0:00:00,¡Gracias a ti por formar pae de esta gran familia!,0
2023-02-13,0:00:00,"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato.",0
2023-02-14,0:00:00,100 % recomendado la vdd,0
2023-02-14,0:00:00,Para ver si eres fit y viable para seguros de vida! XD,0
2023-02-14,0:00:00,"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?",1
2023-02-15,0:00:00,😒 Gracias 😊,0
2023-02-15,0:00:00,Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas),1
2023-02-15,0:00:00,hola ocupo ayuda con el cambio de número de celular y con mi token,1
2023-02-16,0:00:00,"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí",2
2023-02-16,0:00:00,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?",2
2023-02-16,0:00:00,"Pues más vale, la verdad",0
2023-02-16,0:00:00,Ya está todo listo..,0
2023-02-17,0:00:00,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10,0
2023-02-17,0:00:00,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.,2
2023-02-17,0:00:00,"Gracias por la respuesta, estaré al pendiente",1
2023-02-18,0:00:00,Hola buenas tardes,0
2023-02-18,0:00:00,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe",0
2023-02-20,0:00:00,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita,0
2023-02-21,0:00:00,Hola!!!,0
2023-02-23,0:00:00,Saludos a,0
2023-02-23,0:00:00,"real esa tarjeta es la neta, en general el banco es 10/10",0
2023-02-23,0:00:00,":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación 🥰🤘🏻",0
2023-02-23,0:00:00,como puedo inveir con ustedes y como se genera las ganancias para uno,2
2023-02-24,0:00:00,Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.,0
2023-02-24,0:00:00,.@heybanco tqm 🫶 no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon 😌con mi boleto dorado,0
2023-02-24,0:00:00,"Hola buen día, Al solicitar una tarjeta con diseño nuevo tengo que utilizarla?Recién esta por llegarme la metálica, sin embargo me atraen mucho los diseños como coleccionable… y no quisiera pedir una y perder la metal🤔",1
2023-02-25,0:00:00,"Gracias, hasta ahorita los amo 💙",0
2023-02-26,0:00:00,Gracias bro,0
2023-02-26,0:00:00,"Gracias, ya lo envié.",0
2023-02-26,0:00:00,"Gracias por responder, quedo en espera de la solución al problema.",1
2023-02-26,0:00:00,yo hice varias transferencias hace rato y todo bien,0
2023-02-26,0:00:00,A veces sólo es cuestión de limpiar el chip antes de pasarla! Así he solucionado el inconveniente,0
2023-02-26,0:00:00,Estoy muy contesta de compairles esta colaboración que hice con Hey Banco,0
2023-02-26,0:00:00,"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario.",0
2023-02-26,0:00:00,“Agradecemos tu comprensión” jaja increíble,0
2023-02-26,0:00:00,Es correcto. De BBVA a BBVA sin problemas. Ya en Hey avisaron que hasta las 7 aproximadamente.,2
2023-02-27,0:00:00,Gracias ya les respondí,0
2023-02-27,0:00:00,Listo!! Gracias,0
2023-02-27,0:00:00,Perfecto! Gracias ☺️,0
2023-02-27,0:00:00,Pero que tremenda sabiduría 👏 me quede anonadado con este mensaje yo creía que la cantidad que ponía de garantía se utilizaba para los niños sin alimento o para los indigentes y que con eso ya después te entregaban una tarjeta de crédito 💳 😱 que tremenda explicación,0
2023-02-27,0:00:00,Esta padrisima la tarjeta!!,0
2023-02-27,0:00:00,"Está muy bonito, me hace considerar adquirir la tarjeta",2
2023-02-27,0:00:00,Gracias. Ya le mande todos mis datos de mi tarjeta.,1
2023-02-27,0:00:00,"Sí, sin problema:D",0
2023-02-27,0:00:00,"No es problema de ,es ellos son los que tienen la falla. Dalay.",0
2023-02-27,0:00:00,"Pf…. Sigues con Intermitencias… y solo Hey Banco, BBVA sin problema.",1
2023-02-27,0:00:00,"La primera no había sido la de chichen itza ?Estoy esperando esa, pero este modelo está bonito también.",0
2023-02-27,0:00:00,"Tengo BBVA y Bancoppel, las dos trabajan a la perfección.",2
2023-02-27,0:00:00,Entiendo le agradezco el comentario y como sugerencia me gustaría recibir una notificación correo o texto de que el servicio no estará disponible para no caer en esta situación ya que me sirve de mucha utilidad la tarjeta y me gustaría seguir con ustedes.,1
2023-02-27,0:00:00,Que bien! 👍🏼,0
2023-02-28,0:00:00,"Me siento poderosa !!! Gracias , estoy muy contenta !!!!🐝✨👑",0
2023-02-28,0:00:00,Esta bien,0
2023-02-28,0:00:00,"Yo la tengo y es una maravilla, Servicio eficiente y la app de primera. ¡¡¡Altamente recomendable!!!!!",0
2023-02-28,0:00:00,"Ay no, yo ya tengo la mia y ese diseño esta super cool !!!",0
2023-03-01,0:00:00,"Animense, ya casi un año con la tarjeta de credito heygarantizada y sin problemas, incluyendo en el extranjero",0
2023-03-02,0:00:00,"Gracias, según recuerdo esto ya lo había hecho el día que la fuí a activar pero volveré a hacerlo tanto para la TDD cómo la TDC, gracias:)",0
2023-03-02,0:00:00,Mucho exito! heybanco,0
2023-03-02,0:00:00,. recomendadísimas 👌(pd. YoTePresto y 100Ladrillos HechoEnJalisco),0
2023-03-03,0:00:00,"Hola muchas gracias por su respuesta en DM👌, con lo que me indicaron ya logre hacer el movimiento que requeria",0
2023-03-03,0:00:00,¡Manifiesto!✨️ Hoy fui y salí enmoradísima. Me subí y así casi que me voy a dar una vuelta ¡Hermosisimo el carro! ¡Háganme la buena!❤️‍🔥🙏💕,0
2023-03-03,0:00:00,"Se resolvió con la actualización de la app, gracias. También me sirvió el DM 👌🏼",0
2023-03-03,0:00:00,Ustedes son mi banco y la verdad lo estan haciendo muy bien!,0
2023-03-03,0:00:00,Definitivamente👆🏽,0
2023-03-04,0:00:00,Gracias por secuestrar la plata en Ahorro 🤦‍♂️Bitcoin fixes this... literalmente eso me salva 🙄,2
2023-03-04,0:00:00,Gracias la transferencia fue aplicada al día siguiente,0
2023-03-06,0:00:00,"Gracias, ya lo resolví jajaja, me equivoqué",0
2023-03-06,0:00:00,Quedó aclarado el tema. Gracias.,0
2023-03-07,0:00:00,Bank run!!!,0
2023-03-07,0:00:00,Les respondí por privado. Saludos!,0
2023-03-07,0:00:00,eso es bueno saberlo,0
2023-03-08,0:00:00,Gracias por la información 🙏,0
2023-03-08,0:00:00,Listo!!!,0
2023-03-08,0:00:00,"Así te da la bienvenida a tu tarjeta de Metal, aún sin beneficios adicionales 🫠",1
2023-03-08,0:00:00,"Se cayó la app de todo ha sido una buena experiencia con ustedes, no me fallen cuando se les necesita",1
2023-03-08,0:00:00,La verdad es menos tedioso el proceso de hablar con alguien en me agrada mucho la experiencia.,1
2023-03-09,0:00:00,"Gracias, ya les contesté",0
2023-03-09,0:00:00,ayuda!!!,0
2023-03-09,0:00:00,"Si gracias, les volví a contestar hace un par de horas",0
2023-03-09,0:00:00,"Fue más rápido marcar, tuve que hacer una caa de hechos en donde ponía los datos que quería cambiar y ya lo hicieron, por fin pude instalar el Token. el chico que me atendió súper bueno y amable! Se llama Christhian Hernández ❤️",1
2023-03-10,0:00:00,"me avisan si van a la quiebra, para sacar mi dinero de inversión a 7 días porfas y muchas gracias de antemano los amo ✨❤️‍🔥",1
2023-03-11,0:00:00,"Yeah, son los mejores a pesar del veto",0
2023-03-12,0:00:00,"solucionado, muchas gracias 🫶🏼",0
2023-03-12,0:00:00,Ya se puede,0
2023-03-13,0:00:00,Gracias :),0
2023-03-13,0:00:00,"Me siguen hablando en horario laboral.El que su personal de DHL descuide su trabajo, no significa que yo tenga que descuidar el mío.Si me van a hablar, que sea después de las 15 hrs o 3 pm.Agradezco que ésta vez si lean mi horario y me hablen cuando puedo atender el teléfono.",1
2023-03-13,0:00:00,Exacto puntos lealtad que solo se cambian en su tiendaPor lo menos en Santander si tienda tenía tecnología y aículos para el hogar Mejor que lo cambien por más cashback,2
2023-03-13,0:00:00,Verdaderamente el mejor banco que hay 💖✨ los tqm mucho 🤠,0
2023-03-13,0:00:00,"Bueno, es que yo si pude ya.",0
2023-03-13,0:00:00,Excelente!!,0
2023-03-13,0:00:00,Muy bien excelente,0
2023-03-13,0:00:00,"Me gane un mes de Spotify y no soy usuario 😄, mejor que me cambien mi tarjeta, me gusta más la blanca del negocio. 😁",2
2023-03-13,0:00:00,es excelente! Yo eh trabajo varios años con ellos y todo perfecto,0
2023-03-14,0:00:00,Super! Ojalá que esto pueda ser corregido en la app entonces. Apareció así hace unos días de repente. Gracias!Cc.,1
2023-03-14,0:00:00,Wooow que emoción,0
2023-03-14,0:00:00,🥳 Nunca me gano nada.Pero hoy empeze bien mi día 👍🏻,0
2023-03-14,0:00:00,Exito🏳️‍🌈🏳️‍🌈,0
2023-03-15,0:00:00,"Ya les contesté, gracias",0
2023-03-15,0:00:00,Listos !!!!!!!!,0
2023-03-15,0:00:00,"Gracias ya los conocí, los use, y hoy los dejo, definitivamente no son lo mio, pero si los recomiendo! 👍 Bancos fintech mexicano",2
2023-03-15,0:00:00,"Cámbiate a HeyBanco, hasta el momento es la mejor que he probado. Te dan 2% de todo lo que gastas, y es dinero gratis si eres como yo que siempre paga a tiempo y nunca paga intereses.",2
2023-03-15,0:00:00,Wwwooowww que maravilla felicidades y por supuesto que ahí estaré para disfrutar de mi Chica Dorada,0
2023-03-15,0:00:00,En verdad les agradezco ya que no tengo la tarjeta de débito y la necesito,1
2023-03-16,0:00:00,Muchas gracias por la información ahí nos vemos el 3 de Junio,2
2023-03-16,0:00:00,Pues bueno... xd,0
2023-03-16,0:00:00,Es una DJ increíble,0
2023-03-16,0:00:00,Muchas graciasQuedo en esperaSaludos.,0
2023-03-16,0:00:00,Un festival 100% tercermundista. ¡Felicidades!,0
2023-03-16,0:00:00,La Supermana hermosa 💕,0
2023-03-17,0:00:00,Gracias por el seguimiento!,0
2023-03-17,0:00:00,mi primera tdc 💳💓 thx,0
2023-03-17,0:00:00,Gracias por su respuesta,0
2023-03-17,0:00:00,"Gracias, espero su pronta respuesta de agradecimiento",1
2023-03-17,0:00:00,Estoy sorprendido como permite que se organicen esas cosas. 🤮,1
2023-03-18,0:00:00,"Gracias, como siempre super buena y rápida, la atención de su pae.",0
2023-03-19,0:00:00,Muchas gracias :),0
2023-03-21,0:00:00,"Hola Quiero decirles que muchas gracias por el seguimiento a mi problema sobre el Token, ya quedo resuelto Muy buena atención, al final no fue problema de parte suya sino de mi operadora Saludos.",1
2023-03-22,0:00:00,Hey ya no nos hagan sufrir más a los de la dinámica de tikitoki jajaja 😭💖,1
2023-03-23,0:00:00,Que tal buen dia. Necesito ayuda.,1
2023-03-23,0:00:00,"Excelente servicio en atención a clientes 🫶🏻, nunca cambien! ❤️",0
2023-03-23,0:00:00,OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal norte en donde me etiqueta…,2
2023-03-24,0:00:00,Saludos bro. Gracias por ver los vídeos.,0
2023-03-24,0:00:00,"Gracias, tocayo. Soy tu fan. ;)",0
2023-03-24,0:00:00,¡Hola! Permíteme conocer más de tu caso vía mensaje privado para poder darte la atención necesaria y rápida. ¡Saludos!,0
2023-03-24,0:00:00,o fácil,0
2023-03-25,0:00:00,"Hola! Ntp después de otros intentos me pudieron asistir, gracias!",0
2023-03-26,0:00:00,Si la anualidad es de $999. Si juntas $100k estas libre de la anualidad. Mucho mejor que ese pedazo de metal VISA Standard,2
2023-03-26,0:00:00,"exacto, todas son duales",2
2023-03-26,0:00:00,Por eso Fondeadora Metal es World Elite;),2
2023-03-28,0:00:00,"Gracias a Dios, JAJAJA.",0
2023-03-28,0:00:00,igual a mi con amazon.,0
2023-03-28,0:00:00,This is the oppounity of a lifetime! Gotta watch this web3 developer's MEV strategy video and learn how to make some serious cash with crypto.,0
2023-03-28,0:00:00,"Ese hombre merece que le mandes además de tan grata felicitación una foto especial, única y sin censura autografiada x la Diosa de TW.",0
2023-03-28,0:00:00,Que Dios le pague con muchos hijos.,0
2023-03-28,0:00:00,Mándamela a mi!! Yo se la hago llegar !! Jajaja. Chido que te resolvió !,0
2023-03-28,0:00:00,Le mando un beso tronado y apretón de nalga a Ángel Argüello de que en dos horas me resolvió un asunto que llevaba 59 días estancado. Agradecida con el de abajo 🥺,0
2023-03-29,0:00:00,"No te había dicho que conozco a Angel, pero es muy tímido, si gustas yo le hago llegar el presente",0
2023-03-29,0:00:00,"Gracias, ya recibí el código 👍",0
2023-03-29,0:00:00,Ser agradecida. Y si es con el de abajo mejor...,0
2023-03-29,0:00:00,"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio enormemente; si ustedes gustan donar algo pueden hacerlo a la clabe 058597000024431851 en HeyBanco a nombre de Noris Vargas G. (Sin embargo también pueden",0
2023-03-29,0:00:00,Jajaja muy bien!,0
2023-03-29,0:00:00,Amigues por primera vez en mi vida gane una dinámica JAJAJAJAJA Gracias no gane el pastel pero si esta dinámica ✨,2
2023-03-30,0:00:00,Teniendo tantas juntas de Cashback y viendo los beneficios me dan ganas de sacar mis tarjetas de &amp;,2
2023-03-30,0:00:00,"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio…",0
2023-03-31,0:00:00,"Gracias, supongo que es así por semana santa, correcto? Saludos!",1
2023-03-31,0:00:00,"Gracias, estaré pendiente a qué me responda",0
2023-03-31,0:00:00,"Es que hay un secreto para que te contesten rápido, te lo cuento cuando estemos bebiendo y no, ojalá me paguen, me resuelven súper rápido.",0
2023-04-01,0:00:00,Muchas gracias ya me comuniqué y me dieron folio de seguimiento respecto a mi situación y estoy en espera que me revuelva lo antes posible!,0
2023-04-03,0:00:00,Gracias a Tamos readys en PalNorte 🦁,0
2023-04-03,0:00:00,"Bueno, intento más tarde, muchas gracias, Maite!! Un gusto saludae☺️",1
2023-04-03,0:00:00,"Habla al número que está en la tarjeta, yo lo hice así y no tuve ningún problema en españa ;)",1
2023-04-03,0:00:00,This web3 developer's MEV strategy is a game-changer. He's making over 5 ETH per week and you need to learn how!,0
2023-04-04,0:00:00,"Te cuento lo que hice Yo tampoco tenía Historial pero tenía la de Nubank y hasta ahí todo bien, posterior fui con Heybanco, y realmente no interesaba usar su tarjeta.Pero vi que tenía un pagare y me interesóMe registre a la cuenta, no solicite plástico ni nada",2
2023-04-06,0:00:00,Ya resolví gracias,0
2023-04-06,0:00:00,Gracias por darnos agüita en para no morir de disentería por el agua puerca de los bebedores de 🤢,0
2023-04-08,0:00:00,Buenas tardes,0
2023-04-08,0:00:00,"¿Adivinen dónde estoy?¡Que buena experiencia, !",0
2023-04-11,0:00:00,"5/ Seguramente veremos a y dando más noticias de innovación y servicios, pero sobre todo generando más competencia en la industria financiera, lo cual beneficia a todos los usuarios.BancaDigital NuMéxico HeyBanco Innovación CompetenciaFinanciera Fintech",2
2023-04-11,0:00:00,"4/ La gran ventaja de es su experiencia de 5 años en el mercado, ganando terreno entre los jóvenes por sus servicios y por patrocinar festivales de música, lo que les permite crecer junto con sus clientes.",2
2023-04-13,0:00:00,Gracias les volví a contestar el dm,0
2023-04-13,0:00:00,"Gracias hey banco, solucionaron el problema.",1
2023-04-14,0:00:00,Muchísimas gracias,0
2023-04-14,0:00:00,Muchas gracias por su respuesta tan pronta.,0
2023-04-14,0:00:00,"gracias por la pronta devolución, me sirvio para pagarle a",0
2023-04-15,0:00:00,Muchas gracias mando DM a la brevedad,1
2023-04-15,0:00:00,No má gracias tío estuvo fantástico este descuento del 50% en mi checkup en,1
2023-04-17,0:00:00,"Super, gracias.",0
2023-04-18,0:00:00,"Correcto, esperaré el contacto por parte de ustedes para arreglar la situación de mi inversión hey pro al 10%",1
2023-04-19,0:00:00,muchas gracias,0
2023-04-19,0:00:00,"Excelente, muchas gracias por su soporte, tío hey. De igual manera quiero agregar que el error ya fue solucionado, y adicional, durante el día recibí un SMS donde me notificaban que debido a una incidencia se mostraba el 5% y que lo estaban trabajando. Nuevamente gracias 🫂",1
2023-04-19,0:00:00,Muchas gracias. Voy a comunicarme entonces.,2
2023-04-19,0:00:00,"Están en proceso de resolver según mensajes que me están enviando los de hey banco, saludos.",2
2023-05-12,0:00:00,Ya me llego gracias,0
2023-05-12,0:00:00,"Un gusto saludae Erich, ponemos a tu disposición nuestra cuenta de correo electrónico en la que con gusto atenderemos tus dudas, escríbenos: asesoria@condusef.gob.mx , recuerda que CONDUSEF te apoya.",0
2023-05-12,0:00:00,el mejor banco &lt;3,2
